ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
12642491,JF174127,2022-03-13 10:00:00,070XX S EBERHART AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,322,3,6,69,06,2022,2023-01-03 15:40:27
12502566,JE397280,2021-09-10 03:30:00,019XX N Lincoln Ave,0810,THEFT,OVER $500,STREET,False,False,1814,18,43,7,06,2021,2021-10-06 15:40:31
12440178,JE322065,2021-07-31 18:00:00,093XX S EAST END AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,413,4,8,48,06,2021,2021-08-07 15:40:24
12246251,JD459809,2020-12-15 13:30:00,054XX S ARCHER AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,814,8,14,56,06,2020,2020-12-22 15:40:21
12529542,JE431080,2021-10-27 15:00:00,033XX N HAMLIN AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,APARTMENT,False,False,1732,17,30,21,11,2021,2021-11-04 15:41:26
12461094,JE347527,2021-08-21 09:30:00,092XX S JEFFERY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,413,4,8,48,08A,2021,2021-08-28 15:40:43
12176168,JD379360,2020-09-25 19:05:00,021XX S CHINA PL,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,914,9,25,34,06,2020,2020-10-02 15:43:10
12778360,JF338162,2022-07-31 01:45:00,001XX W HUBBARD ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1831,18,42,8,08B,2022,2023-01-03 15:40:27
12326776,JE182858,2021-03-29 05:49:00,023XX W CERMAK RD,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESTAURANT,False,False,1234,12,25,31,05,2021,2021-04-05 15:40:26
12901492,JF485316,2022-11-18 14:00:00,029XX W SUMMERDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2011,20,40,4,14,2022,2023-01-03 15:40:27
12713829,JF260263,2022-05-29 18:57:00,080XX S LANGLEY AVE,0460,BATTERY,SIMPLE,APARTMENT,False,True,631,6,6,44,08B,2022,2023-01-03 15:40:27
12417870,JE294825,2021-07-07 17:33:00,024XX W BELMONT AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1921,19,47,5,24,2021,2021-07-14 15:40:35
12760460,JF315943,2022-07-13 03:43:00,032XX N WOLCOTT AVE,0810,THEFT,OVER $500,STREET,False,False,1922,19,47,5,06,2022,2023-01-03 15:40:27
12676674,JF215095,2022-04-21 14:30:00,056XX W BERENICE AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),False,False,1633,16,38,15,06,2022,2023-01-03 15:40:27
